Z,symbol,basis_level,external_E_over_h_PHz,mean_envelope_pm,rms_envelope_pm,r90_pm,relaxed_removal_PHz,relaxed_static_chi,frozen_static_chi,basis_chi_difference_percent,spin_squared,orbital_L_squared,specified_2Ms,SCF_gradient,direct_integral_energy_difference_Estar
98,Cf,3,-216961.9600917963,31.668456982282677,52.27051659110641,73.23161696082356,1.2313147365388182,172.19056965236737,125.07028171046095,-0.16562830316391164,6.010189055168006,28.046449997880643,4,8.557911738474826e-07,0.008208549814298749
99,Es,3,-222802.31266831045,31.342263389487556,51.521774642551016,72.1018753293877,1.251128258048788,165.14280697104016,119.94970916695372,-0.1717819302602397,3.7563901756467004,34.04819738222187,3,1.2333838396317916e-06,0.008710346890438814
100,Fm,3,-228756.92251472795,31.02127324573147,50.78613287250972,71.00748052484975,1.2721927144354845,157.89543164639707,114.83728527487142,-0.16239617280024987,2.004553687598552,23.855303383556816,2,3.96826308652384e-07,0.009032906578795519
101,Md,3,-234829.13792281365,30.701107146836385,50.06597126137319,69.91739393179358,1.2924128860085218,151.17133762004184,110.02589476730118,-0.1106190331960355,0.7519764113859537,12.032673171960028,1,3.598736925618167e-07,0.00935955518798437
102,No,3,-241021.32069552576,30.383900234650092,49.3691473953387,68.83711528338883,1.3115983711880475,145.2329128020568,105.6439940261323,-0.10765971049444545,-5.684341886080802e-14,-2.2737367544323206e-13,0,1.886401702155319e-06,0.00922926353814546
103,Lr,3,-247334.4953586415,30.49541008616713,49.562275422019475,68.72011808400714,0.892791335946077,,98.8581701159962,,0.798792802366691,6.182046145008485,1,9.113328500081185e-07,0.0049259304942097515
104,Rf,3,-253771.5796911636,30.405948450944834,48.93170635205069,68.81990515277108,1.175205787010682,130.68316083351667,84.15305472569833,1.7026293346451338,2.048290613542619,10.133992354952625,2,3.107933690855486e-07,-0.003414191429328639
105,Db,3,-260335.61814583038,30.283599916510813,48.3106642856027,69.06500165873356,1.4616132229126235,87.69734785512829,73.7380489995106,0.37561637965783934,3.778594997817663,12.046056320064054,3,7.047310891491653e-07,-0.006245169730391353
106,Sg,3,-267029.4290297681,30.136964815296125,47.66469606929473,69.40766723850655,1.6039943243865455,73.1092296143285,65.12912008552982,0.44587557956636825,6.038765575181273,6.10847675970183,4,8.167378240485417e-07,-0.006457638148276601
107,Bh,3,-273856.9796773011,29.98148260273331,47.065030402362204,69.78566478543435,1.6282685085959439,64.15264607407481,58.838326595465055,0.5326985616888491,8.806205409480839,0.0,5,1.0895555222573016e-06,-0.005053766202763654
