Z,symbol,name,A,depth,pattern,ratio,depth_fraction
31,Ga,Gallium,69,38,31,1.2258064516129032258064516129032258064516129032258064516129032258064516129032258,0.55072463768115942028985507246376811594202898550724637681159420289855072463768116
32,Ge,Germanium,73,41,32,1.28125,0.56164383561643835616438356164383561643835616438356164383561643835616438356164384
33,As,Arsenic,75,42,33,1.2727272727272727272727272727272727272727272727272727272727272727272727272727273,0.56
34,Se,Selenium,79,45,34,1.3235294117647058823529411764705882352941176470588235294117647058823529411764706,0.56962025316455696202531645569620253164556962025316455696202531645569620253164557
35,Br,Bromine,80,45,35,1.2857142857142857142857142857142857142857142857142857142857142857142857142857143,0.5625
36,Kr,Krypton,84,48,36,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0.57142857142857142857142857142857142857142857142857142857142857142857142857142857
37,Rb,Rubidium,85,48,37,1.2972972972972972972972972972972972972972972972972972972972972972972972972972973,0.56470588235294117647058823529411764705882352941176470588235294117647058823529412
38,Sr,Strontium,88,50,38,1.3157894736842105263157894736842105263157894736842105263157894736842105263157895,0.56818181818181818181818181818181818181818181818181818181818181818181818181818182
39,Y,Yttrium,89,50,39,1.2820512820512820512820512820512820512820512820512820512820512820512820512820513,0.56179775280898876404494382022471910112359550561797752808988764044943820224719101
40,Zr,Zirconium,91,51,40,1.275,0.56043956043956043956043956043956043956043956043956043956043956043956043956043956
41,Nb,Niobium,93,52,41,1.2682926829268292682926829268292682926829268292682926829268292682926829268292683,0.55913978494623655913978494623655913978494623655913978494623655913978494623655914
42,Mo,Molybdenum,96,54,42,1.2857142857142857142857142857142857142857142857142857142857142857142857142857143,0.5625
43,Tc,Technetium,98,55,43,1.2790697674418604651162790697674418604651162790697674418604651162790697674418605,0.56122448979591836734693877551020408163265306122448979591836734693877551020408163
44,Ru,Ruthenium,101,57,44,1.2954545454545454545454545454545454545454545454545454545454545454545454545454545,0.56435643564356435643564356435643564356435643564356435643564356435643564356435644
45,Rh,Rhodium,103,58,45,1.2888888888888888888888888888888888888888888888888888888888888888888888888888889,0.56310679611650485436893203883495145631067961165048543689320388349514563106796117
46,Pd,Palladium,106,60,46,1.3043478260869565217391304347826086956521739130434782608695652173913043478260870,0.56603773584905660377358490566037735849056603773584905660377358490566037735849057
47,Ag,Silver,108,61,47,1.2978723404255319148936170212765957446808510638297872340425531914893617021276596,0.56481481481481481481481481481481481481481481481481481481481481481481481481481481
48,Cd,Cadmium,112,64,48,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0.57142857142857142857142857142857142857142857142857142857142857142857142857142857
49,In,Indium,115,66,49,1.3469387755102040816326530612244897959183673469387755102040816326530612244897959,0.57391304347826086956521739130434782608695652173913043478260869565217391304347826
50,Sn,Tin,119,69,50,1.38,0.57983193277310924369747899159663865546218487394957983193277310924369747899159664
